Sum: 49995000









main shutdown
[447]: sampled: 22000, processed: 1097000, actuated: 1110000
[448]: sampled: 22000, processed: 1037000, actuated: 1050000
[449]: sampled: 22000, processed: 961000, actuated: 974000
[450]: sampled: 22000, processed: 1095000, actuated: 1108000
[451]: sampled: 22000, processed: 1076000, actuated: 1089000
[452]: sampled: 21000, processed: 1064000, actuated: 1077000
[453]: sampled: 22000, processed: 923000, actuated: 936000
[454]: sampled: 21000, processed: 801000, actuated: 814000
[455]: sampled: 21000, processed: 1073000, actuated: 1086000
[456]: sampled: 22000, processed: 1140000, actuated: 1153000
[457]: sampled: 22000, processed: 1229000, actuated: 1242000
[458]: sampled: 26000, processed: 1125000, actuated: 1138000
[459]: sampled: 22000, processed: 936000, actuated: 949000
[460]: sampled: 22000, processed: 1112000, actuated: 1125000
[461]: sampled: 22000, processed: 980000, actuated: 993000
[462]: sampled: 20000, processed: 1023000, actuated: 1036000
[463]: sampled: 22000, processed: 1021000, actuated: 1034000
[464]: sampled: 22000, processed: 1272000, actuated: 1285000
[465]: sampled: 21000, processed: 852000, actuated: 865000
[466]: sampled: 22000, processed: 1253000, actuated: 1266000
[467]: sampled: 22000, processed: 1056000, actuated: 1069000
[468]: sampled: 22000, processed: 1018000, actuated: 1031000
[469]: sampled: 29000, processed: 1133000, actuated: 1146000
[470]: sampled: 26000, processed: 1028000, actuated: 1041000
[471]: sampled: 23000, processed: 1098000, actuated: 1111000
[472]: sampled: 22000, processed: 869000, actuated: 882000
[473]: sampled: 20000, processed: 1048000, actuated: 1061000
[474]: sampled: 21000, processed: 988000, actuated: 1001000
[475]: sampled: 22000, processed: 1084000, actuated: 1097000
[476]: sampled: 21000, processed: 1142000, actuated: 1155000
[477]: sampled: 21000, processed: 1230000, actuated: 1243000
[478]: sampled: 22000, processed: 1033000, actuated: 1046000
[479]: sampled: 22000, processed: 935000, actuated: 948000
[480]: sampled: 29000, processed: 1089000, actuated: 1102000
[481]: sampled: 22000, processed: 943000, actuated: 956000
[482]: sampled: 21000, processed: 1007000, actuated: 1020000
[483]: sampled: 22000, processed: 1051000, actuated: 1064000
[484]: sampled: 22000, processed: 919000, actuated: 932000
[485]: sampled: 22000, processed: 881000, actuated: 894000
[486]: sampled: 22000, processed: 1029000, actuated: 1042000
[487]: sampled: 22000, processed: 845000, actuated: 858000
[488]: sampled: 22000, processed: 946000, actuated: 959000
[489]: sampled: 21000, processed: 973000, actuated: 986000
[490]: sampled: 27000, processed: 1019000, actuated: 1032000
[491]: sampled: 21000, processed: 1137000, actuated: 1150000
