sum: 49995000



Stop after 1000 iterations
main shutdown
logger shutdown
[349]: sampled: 178000, processed: 1448000, actuated: 1489000
[350]: sampled: 181000, processed: 1482000, actuated: 1522000
[351]: sampled: 180000, processed: 1480000, actuated: 1520000
[352]: sampled: 183000, processed: 1362000, actuated: 1402000
[353]: sampled: 188000, processed: 1397000, actuated: 1438000
[354]: sampled: 165000, processed: 1434000, actuated: 1474000
[355]: sampled: 171000, processed: 1533000, actuated: 1573000
[356]: sampled: 178000, processed: 1602000, actuated: 1642000
[357]: sampled: 185000, processed: 1547000, actuated: 1588000
[358]: sampled: 192000, processed: 1524000, actuated: 1564000
[359]: sampled: 167000, processed: 1346000, actuated: 1386000
[360]: sampled: 176000, processed: 1538000, actuated: 1578000
[361]: sampled: 185000, processed: 1670000, actuated: 1710000
[362]: sampled: 193000, processed: 1464000, actuated: 1504000
[363]: sampled: 170000, processed: 1502000, actuated: 1542000
[364]: sampled: 174000, processed: 1536000, actuated: 1576000
[365]: sampled: 176000, processed: 1507000, actuated: 1547000
[366]: sampled: 177000, processed: 1711000, actuated: 1752000
[367]: sampled: 150000, processed: 1481000, actuated: 1522000
[368]: sampled: 185000, processed: 1609000, actuated: 1650000
[369]: sampled: 191000, processed: 1461000, actuated: 1501000
[370]: sampled: 166000, processed: 1590000, actuated: 1630000
[371]: sampled: 172000, processed: 1381000, actuated: 1421000
[372]: sampled: 176000, processed: 1539000, actuated: 1579000
[373]: sampled: 181000, processed: 1390000, actuated: 1430000
[374]: sampled: 185000, processed: 1456000, actuated: 1496000
[375]: sampled: 189000, processed: 1428000, actuated: 1468000
[376]: sampled: 159000, processed: 1459000, actuated: 1499000
[377]: sampled: 161000, processed: 1553000, actuated: 1594000
[378]: sampled: 164000, processed: 1587000, actuated: 1627000
[379]: sampled: 167000, processed: 1528000, actuated: 1568000
[380]: sampled: 170000, processed: 1533000, actuated: 1573000
[381]: sampled: 178000, processed: 1571000, actuated: 1611000
[382]: sampled: 189000, processed: 1460000, actuated: 1500000
[383]: sampled: 169000, processed: 1563000, actuated: 1603000
[384]: sampled: 180000, processed: 1696000, actuated: 1736000
[385]: sampled: 189000, processed: 1644000, actuated: 1684000
[386]: sampled: 167000, processed: 1408000, actuated: 1448000
[387]: sampled: 175000, processed: 1599000, actuated: 1639000
[388]: sampled: 185000, processed: 1456000, actuated: 1496000
[389]: sampled: 192000, processed: 1493000, actuated: 1533000
[390]: sampled: 167000, processed: 1407000, actuated: 1447000
[391]: sampled: 731000, processed: 2175000, actuated: 2216000
[392]: sampled: 175000, processed: 1537000, actuated: 1577000
[393]: sampled: 179000, processed: 1358000, actuated: 1398000
[394]: sampled: 181000, processed: 1389000, actuated: 1429000
[395]: sampled: 183000, processed: 1515000, actuated: 1555000
[396]: sampled: 187000, processed: 1489000, actuated: 1529000
[397]: sampled: 167000, processed: 1560000, actuated: 1600000
[398]: sampled: 171000, processed: 1533000, actuated: 1573000
[399]: sampled: 180000, processed: 1603000, actuated: 1644000
[400]: sampled: 187000, processed: 1489000, actuated: 1530000
[401]: sampled: 168000, processed: 1562000, actuated: 1602000
[402]: sampled: 180000, processed: 1482000, actuated: 1522000
[403]: sampled: 191000, processed: 1553000, actuated: 1593000
[404]: sampled: 168000, processed: 1500000, actuated: 1541000
[405]: sampled: 180000, processed: 1482000, actuated: 1523000
[406]: sampled: 191000, processed: 1401000, actuated: 1441000
[407]: sampled: 169000, processed: 1471000, actuated: 1511000
[408]: sampled: 180000, processed: 1451000, actuated: 1492000
[409]: sampled: 188000, processed: 1520000, actuated: 1560000
[410]: sampled: 167000, processed: 1499000, actuated: 1540000
[411]: sampled: 174000, processed: 1445000, actuated: 1485000
[412]: sampled: 184000, processed: 1486000, actuated: 1526000
[413]: sampled: 194000, processed: 1588000, actuated: 1628000
[414]: sampled: 175000, processed: 2391000, actuated: 2431000
[415]: sampled: 185000, processed: 1456000, actuated: 1496000
[416]: sampled: 197000, processed: 1529000, actuated: 1569000
[417]: sampled: 175000, processed: 1446000, actuated: 1486000
[418]: sampled: 183000, processed: 1209000, actuated: 1249000
[419]: sampled: 192000, processed: 1615000, actuated: 1655000
[420]: sampled: 169000, processed: 1409000, actuated: 1450000
[421]: sampled: 182000, processed: 1667000, actuated: 1707000
[422]: sampled: 192000, processed: 1341000, actuated: 1381000
[423]: sampled: 173000, processed: 1567000, actuated: 1607000
[424]: sampled: 186000, processed: 1334000, actuated: 1375000
[425]: sampled: 201000, processed: 1533000, actuated: 1573000
[426]: sampled: 184000, processed: 1608000, actuated: 1649000
[427]: sampled: 198000, processed: 1531000, actuated: 1571000
[428]: sampled: 181000, processed: 1636000, actuated: 1676000
[429]: sampled: 194000, processed: 1466000, actuated: 1506000
[430]: sampled: 175000, processed: 1539000, actuated: 1579000
[431]: sampled: 185000, processed: 1518000, actuated: 1558000
