sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[280]: sampled: 175000, processed: 1722000, actuated: 1763000
[281]: sampled: 188000, processed: 1429000, actuated: 1469000
[282]: sampled: 169000, processed: 1563000, actuated: 1603000
[283]: sampled: 182000, processed: 1453000, actuated: 1493000
[284]: sampled: 196000, processed: 1498000, actuated: 1538000
[285]: sampled: 177000, processed: 1570000, actuated: 1610000
[286]: sampled: 191000, processed: 1432000, actuated: 1472000
[287]: sampled: 174000, processed: 1506000, actuated: 1547000
[288]: sampled: 185000, processed: 1425000, actuated: 1465000
[289]: sampled: 197000, processed: 1315000, actuated: 1355000
[290]: sampled: 178000, processed: 1603000, actuated: 1643000
[291]: sampled: 191000, processed: 1462000, actuated: 1502000
[292]: sampled: 176000, processed: 1417000, actuated: 1457000
[293]: sampled: 189000, processed: 1614000, actuated: 1654000
[294]: sampled: 168000, processed: 1653000, actuated: 1694000
[295]: sampled: 178000, processed: 1448000, actuated: 1489000
[296]: sampled: 190000, processed: 1431000, actuated: 1471000
[297]: sampled: 170000, processed: 1503000, actuated: 1543000
[298]: sampled: 183000, processed: 1516000, actuated: 1557000
[299]: sampled: 202000, processed: 1596000, actuated: 1637000
[300]: sampled: 191000, processed: 1463000, actuated: 1503000
[301]: sampled: 171000, processed: 1442000, actuated: 1482000
[302]: sampled: 184000, processed: 1425000, actuated: 1465000
[303]: sampled: 195000, processed: 1681000, actuated: 1721000
[304]: sampled: 175000, processed: 1567000, actuated: 1608000
[305]: sampled: 183000, processed: 1576000, actuated: 1616000
[306]: sampled: 194000, processed: 1679000, actuated: 1720000
[307]: sampled: 178000, processed: 1419000, actuated: 1459000
[308]: sampled: 189000, processed: 1491000, actuated: 1531000
[309]: sampled: 162000, processed: 1585000, actuated: 1625000
[310]: sampled: 167000, processed: 1683000, actuated: 1724000
[311]: sampled: 177000, processed: 1418000, actuated: 1458000
[312]: sampled: 189000, processed: 1491000, actuated: 1531000
[313]: sampled: 163000, processed: 1526000, actuated: 1566000
[314]: sampled: 174000, processed: 1505000, actuated: 1546000
[315]: sampled: 181000, processed: 1421000, actuated: 1461000
[316]: sampled: 188000, processed: 1397000, actuated: 1437000
[317]: sampled: 163000, processed: 1465000, actuated: 1505000
[318]: sampled: 172000, processed: 1596000, actuated: 1636000
[319]: sampled: 178000, processed: 1510000, actuated: 1550000
[320]: sampled: 188000, processed: 1428000, actuated: 1468000
[321]: sampled: 166000, processed: 1468000, actuated: 1508000
[322]: sampled: 174000, processed: 1323000, actuated: 1363000
[323]: sampled: 181000, processed: 1787000, actuated: 1828000
[324]: sampled: 186000, processed: 1608000, actuated: 1648000
[325]: sampled: 188000, processed: 1733000, actuated: 1774000
[326]: sampled: 163000, processed: 1342000, actuated: 1382000
[327]: sampled: 172000, processed: 1504000, actuated: 1545000
[328]: sampled: 182000, processed: 1515000, actuated: 1555000
[329]: sampled: 193000, processed: 1434000, actuated: 1474000
[330]: sampled: 173000, processed: 1444000, actuated: 1485000
[331]: sampled: 183000, processed: 1546000, actuated: 1586000
[332]: sampled: 194000, processed: 1587000, actuated: 1628000
[333]: sampled: 174000, processed: 1537000, actuated: 1577000
[334]: sampled: 183000, processed: 1484000, actuated: 1525000
[335]: sampled: 188000, processed: 1367000, actuated: 1407000
